READ,SERR,1,2,,,
@ajello_LoNLoS_LAT_1D,,,,,,
!,,,,,,
308.795,14.0925,14.0925,11.17038,2.114702,2.114702,0
336.98,14.0925,14.4755,10.05014,2.050938,2.050938,0
365.931,14.4755,14.8585,9.052802,1.987854,1.987854,0
395.648,14.8585,15.2425,8.766795,1.7929,1.7929,0
426.133,15.2425,15.627,8.36346,1.649398,1.649398,0
457.387,15.627,16.0119999999999,7.970378,1.625879,1.625879,0
489.411,16.0119999999999,16.398,6.190451,1.99019,1.99019,0
522.207,16.398,16.7845,4.805986,1.805537,1.805537,0
555.776,16.7845,17.1715,6.064131,1.205533,1.205533,0
590.119,17.1715,17.5595,5.848803,1.0809,1.0809,0
625.238,17.5595,17.9475,5.857544,1.131111,1.131111,0
661.133,17.9475,18.3365000000001,5.244069,1.149512,1.149512,0
697.806,18.3365000000001,18.7259999999999,5.39595,1.112082,1.112082,0
735.258,18.7259999999999,19.1165,5.326428,1.093097,1.093097,0
773.491,19.1165,19.5075,4.71033,0.9885458,0.9885458,0
812.506,19.5075,19.8985,4.493261,1.039827,1.039827,0
852.303,19.8985,20.2910000000001,4.420515,0.9957698,0.9957698,0
892.885,20.2910000000001,20.6835,4.120617,0.9397748,0.9397748,0
934.252,20.6835,21.077,4.080736,1.00087,1.00087,0
976.406,21.077,21.472,4.038212,0.9995403,0.9995403,0
1019.35,21.472,21.865,3.981037,0.9267515,0.9267515,0
1063.08,21.865,22.26,3.628911,0.8858866,0.8858866,0
1107.6,22.26,22.655,3.603966,0.8505287,0.8505287,0
1152.91,22.655,23.0550000000001,3.404577,0.8301049,0.8301049,0
1199.02,23.0550000000001,23.4499999999999,3.34308,0.8676068,0.8676068,0
1245.92,23.4499999999999,23.85,3.157459,0.7436125,0.7436125,0
1293.62,23.85,24.245,3.035911,0.7154378,0.7154378,0
1342.11,24.245,24.645,2.999619,0.7796625,0.7796625,0
1391.4,24.645,25.0450000000001,2.832979,0.5770811,0.5770811,0
1441.49,25.0450000000001,25.445,2.926027,0.6442176,0.6442176,0
1492.38,25.445,25.85,2.691814,0.6373684,0.6373684,0
1544.08,25.85,26.2449999999998,2.699467,0.6734602,0.6734602,0
1596.57,26.2449999999998,26.6500000000001,2.75431,0.6361195,0.6361195,0
1649.87,26.6500000000001,27.0550000000001,2.739356,0.5548969,0.5548969,0
1703.98,27.0550000000001,27.455,2.487127,0.5933603,0.5933603,0
1758.89,27.455,27.86,2.527901,0.5965354,0.5965354,0
1814.61,27.86,28.265,2.485218,0.5685134,0.5685134,0
1871.14,28.265,28.67,2.468696,0.4923303,0.4923303,0
1928.48,28.67,29.0799999999999,2.304928,0.5105715,0.5105715,0
1986.64,29.0799999999999,29.48,2.345105,0.5742623,0.5742623,0
2045.6,29.48,29.8899999999999,2.336404,0.5467817,0.5467817,0
2105.38,29.8899999999999,30.3000000000002,2.419841,0.4422359,0.4422359,0
2165.98,30.3000000000002,30.7049999999999,2.323286,0.4890716,0.4890716,0
2227.39,30.7049999999999,31.1150000000002,2.308606,0.5190874,0.5190874,0
2289.62,31.1150000000002,31.5249999999996,2.414526,0.488232,0.488232,0
2352.67,31.5249999999996,31.9400000000003,2.298665,0.4708008,0.4708008,0
2416.55,31.9400000000003,32.345,2.035169,0.4333295,0.4333295,0
2481.24,32.345,32.7599999999998,2.040121,0.3961803,0.3961803,0
2546.76,32.7599999999998,33.1700000000003,2.043981,0.441527,0.441527,0
2613.1,33.1700000000003,33.5799999999999,1.953656,0.4459113,0.4459113,0
2680.26,33.5799999999999,34,2.003689,0.4633181,0.4633181,0
2748.26,34,34.4099999999999,2.076407,0.44387,0.44387,0
2817.08,34.4099999999999,34.825,2.052837,0.4202771,0.4202771,0
2886.73,34.825,35.24,2.017362,0.4418776,0.4418776,0
2957.21,35.24,35.24,1.986981,0.3712204,0.3712204,0
