##################################################
### This is the standardized output to be read by CLASS.
### For the correct usage ensure that all other
### "print(...)"-commands in your script are silenced.
##################################################

#z_dep	f_heat	f_lya	f_ionH	f_ionHe	f_lowE

64

0.00e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.20e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.32e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.45e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.59e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.75e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.92e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.10e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.30e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.53e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
2.77e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.03e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.32e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.63e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
3.97e+01	1.0582e-02	1.7584e-02	2.4282e-02	8.8260e-04	1.2407e-02
4.34e+01	1.1741e-02	1.9633e-02	2.6838e-02	9.9860e-04	1.3638e-02
4.75e+01	1.2098e-02	2.0246e-02	2.7519e-02	1.0417e-03	1.3918e-02
5.20e+01	1.2287e-02	2.0533e-02	2.7777e-02	1.0670e-03	1.3950e-02
5.68e+01	1.2386e-02	2.0684e-02	2.7850e-02	1.0842e-03	1.3874e-02
6.21e+01	1.2431e-02	2.0760e-02	2.7824e-02	1.0967e-03	1.3764e-02
6.79e+01	1.2449e-02	2.0798e-02	2.7746e-02	1.1061e-03	1.3642e-02
7.43e+01	1.2448e-02	2.0813e-02	2.7642e-02	1.1142e-03	1.3524e-02
8.12e+01	1.2448e-02	2.0825e-02	2.7536e-02	1.1205e-03	1.3425e-02
